0.8657 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
49.2666 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
50.7935 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

50.7946 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8c2f545240>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8c3095b128>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
50.7951 	EXP 	window1: mouseVisible = True
50.7952 	EXP 	window1: recordFrameIntervals = False
50.8852 	EXP 	window1: recordFrameIntervals = True
51.2010 	WARNING 	t of last frame was 23.91ms (=1/41)
51.2509 	WARNING 	t of last frame was 24.72ms (=1/40)
51.3506 	WARNING 	t of last frame was 23.67ms (=1/42)
51.5512 	WARNING 	t of last frame was 24.09ms (=1/41)
51.6340 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
52.0108 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

52.6448 	EXP 	Created Instruction_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='Instruction_image.png', interpolate=True, mask=None, maskParams=None, name='Instruction_image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1214.,  612.]), texRes=128.0, units='pix', win=Window(...))
52.7763 	EXP 	Created Warning_signal_1 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Warning_signal_1', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
52.7833 	EXP 	Created The_word_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='The_word_1', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.9142 	EXP 	Created Warning_signal_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Warning_signal_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
52.9155 	EXP 	Created The_word_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='The_word_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
53.0909 	EXP 	Created The_end_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='The_end_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
53.2410 	EXP 	Instruction_image: autoDraw = True
106.4732 	EXP 	Imported conditions_file.xlsx as conditions, 20 conditions, 3 params
106.4740 	EXP 	Created sequence: random, trialTypes=20, nReps=1, seed=None
106.4743 	EXP 	New trial (rep=0, index=0): {'stimulusWord': 'CAFE', 'theCondition': 'word', 'corrResp': 'left'}
106.4885 	DATA 	Keypress: space
106.4964 	EXP 	Instruction_image: autoDraw = False
106.4964 	EXP 	The_word_1: text = 'CAFE'
106.4964 	EXP 	Warning_signal_1: autoDraw = True
107.4946 	EXP 	The_word_1: autoDraw = True
107.5048 	EXP 	Warning_signal_1: autoDraw = False
108.9707 	EXP 	New trial (rep=0, index=1): {'stimulusWord': 'FRIEND', 'theCondition': 'word', 'corrResp': 'left'}
108.9922 	EXP 	Warning_signal_1: autoDraw = False
108.9922 	EXP 	The_word_1: autoDraw = False
108.9922 	EXP 	The_word_1: text = 'FRIEND'
108.9922 	EXP 	Warning_signal_1: autoDraw = True
109.9671 	EXP 	The_word_1: autoDraw = True
109.9913 	EXP 	Warning_signal_1: autoDraw = False
111.2232 	EXP 	New trial (rep=0, index=2): {'stimulusWord': 'BOAT', 'theCondition': 'word', 'corrResp': 'left'}
111.2407 	DATA 	Keypress: left
111.2488 	EXP 	Warning_signal_1: autoDraw = False
111.2488 	EXP 	The_word_1: autoDraw = False
111.2488 	EXP 	The_word_1: text = 'BOAT'
111.2488 	EXP 	Warning_signal_1: autoDraw = True
112.2175 	EXP 	The_word_1: autoDraw = True
112.2546 	EXP 	Warning_signal_1: autoDraw = False
112.9150 	EXP 	New trial (rep=0, index=3): {'stimulusWord': 'PLANT', 'theCondition': 'word', 'corrResp': 'left'}
112.9271 	DATA 	Keypress: left
112.9337 	EXP 	Warning_signal_1: autoDraw = False
112.9337 	EXP 	The_word_1: autoDraw = False
112.9337 	EXP 	The_word_1: text = 'PLANT'
112.9337 	EXP 	Warning_signal_1: autoDraw = True
113.9343 	EXP 	Warning_signal_1: autoDraw = False
113.9343 	EXP 	The_word_1: autoDraw = True
114.5853 	EXP 	New trial (rep=0, index=4): {'stimulusWord': 'XLFE', 'theCondition': 'nonword', 'corrResp': 'right'}
114.5912 	DATA 	Keypress: left
114.5996 	EXP 	Warning_signal_1: autoDraw = False
114.5996 	EXP 	The_word_1: autoDraw = False
114.5996 	EXP 	The_word_1: text = 'XLFE'
114.5996 	EXP 	Warning_signal_1: autoDraw = True
115.5884 	EXP 	The_word_1: autoDraw = True
115.6006 	EXP 	Warning_signal_1: autoDraw = False
116.4061 	EXP 	New trial (rep=0, index=5): {'stimulusWord': 'HOME', 'theCondition': 'word', 'corrResp': 'left'}
116.4165 	DATA 	Keypress: right
116.4234 	EXP 	Warning_signal_1: autoDraw = False
116.4234 	EXP 	The_word_1: autoDraw = False
116.4234 	EXP 	The_word_1: text = 'HOME'
116.4234 	EXP 	Warning_signal_1: autoDraw = True
117.4171 	EXP 	The_word_1: autoDraw = True
117.4278 	EXP 	Warning_signal_1: autoDraw = False
118.0542 	EXP 	New trial (rep=0, index=6): {'stimulusWord': 'DRIN', 'theCondition': 'nonword', 'corrResp': 'right'}
118.0627 	DATA 	Keypress: left
118.0701 	EXP 	Warning_signal_1: autoDraw = False
118.0701 	EXP 	The_word_1: autoDraw = False
118.0701 	EXP 	The_word_1: text = 'DRIN'
118.0701 	EXP 	Warning_signal_1: autoDraw = True
119.0469 	EXP 	The_word_1: autoDraw = True
119.0713 	EXP 	Warning_signal_1: autoDraw = False
119.8702 	EXP 	New trial (rep=0, index=7): {'stimulusWord': 'GLIR', 'theCondition': 'nonword', 'corrResp': 'right'}
119.8819 	DATA 	Keypress: right
119.8886 	EXP 	Warning_signal_1: autoDraw = False
119.8886 	EXP 	The_word_1: autoDraw = False
119.8886 	EXP 	The_word_1: text = 'GLIR'
119.8886 	EXP 	Warning_signal_1: autoDraw = True
120.8766 	EXP 	The_word_1: autoDraw = True
120.8895 	EXP 	Warning_signal_1: autoDraw = False
121.6180 	EXP 	New trial (rep=0, index=8): {'stimulusWord': 'GIRL', 'theCondition': 'word', 'corrResp': 'left'}
121.6224 	DATA 	Keypress: right
121.6295 	EXP 	Warning_signal_1: autoDraw = False
121.6295 	EXP 	The_word_1: autoDraw = False
121.6295 	EXP 	The_word_1: text = 'GIRL'
121.6295 	EXP 	Warning_signal_1: autoDraw = True
122.6142 	EXP 	The_word_1: autoDraw = True
122.6247 	EXP 	Warning_signal_1: autoDraw = False
123.5178 	EXP 	New trial (rep=0, index=9): {'stimulusWord': 'DATA', 'theCondition': 'word', 'corrResp': 'left'}
123.5229 	DATA 	Keypress: left
123.5325 	EXP 	Warning_signal_1: autoDraw = False
123.5325 	EXP 	The_word_1: autoDraw = False
123.5325 	EXP 	The_word_1: text = 'DATA'
123.5325 	EXP 	Warning_signal_1: autoDraw = True
124.5076 	EXP 	The_word_1: autoDraw = True
124.5341 	EXP 	Warning_signal_1: autoDraw = False
125.6809 	EXP 	New trial (rep=0, index=10): {'stimulusWord': 'FRIND', 'theCondition': 'nonword', 'corrResp': 'right'}
125.6859 	DATA 	Keypress: left
125.6926 	EXP 	Warning_signal_1: autoDraw = False
125.6926 	EXP 	The_word_1: autoDraw = False
125.6926 	EXP 	The_word_1: text = 'FRIND'
125.6926 	EXP 	Warning_signal_1: autoDraw = True
126.6669 	EXP 	The_word_1: autoDraw = True
126.6899 	EXP 	Warning_signal_1: autoDraw = False
127.6678 	DATA 	Keypress: right
127.6759 	EXP 	New trial (rep=0, index=11): {'stimulusWord': 'KAFF', 'theCondition': 'nonword', 'corrResp': 'right'}
127.6901 	EXP 	Warning_signal_1: autoDraw = False
127.6901 	EXP 	The_word_1: autoDraw = False
127.6901 	EXP 	The_word_1: text = 'KAFF'
127.6901 	EXP 	Warning_signal_1: autoDraw = True
128.6735 	EXP 	The_word_1: autoDraw = True
128.6859 	EXP 	Warning_signal_1: autoDraw = False
129.5973 	EXP 	New trial (rep=0, index=12): {'stimulusWord': 'STRI', 'theCondition': 'nonword', 'corrResp': 'right'}
129.6031 	DATA 	Keypress: right
129.6100 	EXP 	Warning_signal_1: autoDraw = False
129.6100 	EXP 	The_word_1: autoDraw = False
129.6100 	EXP 	The_word_1: text = 'STRI'
129.6100 	EXP 	Warning_signal_1: autoDraw = True
130.5938 	EXP 	The_word_1: autoDraw = True
130.6065 	EXP 	Warning_signal_1: autoDraw = False
132.0868 	EXP 	New trial (rep=0, index=13): {'stimulusWord': 'TRFIC', 'theCondition': 'nonword', 'corrResp': 'right'}
132.1019 	EXP 	The_word_1: autoDraw = False
132.1019 	EXP 	Warning_signal_1: autoDraw = False
132.1019 	EXP 	The_word_1: autoDraw = False
132.1019 	EXP 	The_word_1: text = 'TRFIC'
132.1019 	EXP 	Warning_signal_1: autoDraw = True
132.1071 	DATA 	Keypress: right
133.0878 	EXP 	The_word_1: autoDraw = True
